"corruption","severity","RMSE"
"gaussian_noise",1,9.218063007417513
"shot_noise",1,8.905853874253696
"impulse_noise",1,1.7524803067705055
"defocus_blur",1,6.662807126773949
"glass_blur",1,6.812470590190727
"motion_blur",1,6.7029940319782435
"zoom_blur",1,7.980538671339554
"snow",1,10.775476368903908
"frost",1,10.334226420247868
"fog",1,10.317594469868062
"brightness",1,10.079113154432484
"contrast",1,10.075760605553521
"elastic_transform",1,6.382329927738515
"pixelate",1,5.582040232375003
"jpeg_compression",1,6.5870745804060435
"speckle_noise",1,7.938393880764787
"gaussian_blur",1,5.927711571571922
"spatter",1,1.5204870800746244
"saturate",1,6.499804637700116
"gaussian_noise",2,9.715908004825797
"shot_noise",2,9.522865482590625
"impulse_noise",2,2.4786127939967524
"defocus_blur",2,6.9792585888043925
"glass_blur",2,6.884145003645024
"motion_blur",2,7.28939560077842
"zoom_blur",2,8.298831443159772
"snow",2,10.553235754572317
"frost",2,10.286249830979305
"fog",2,10.309402287772384
"brightness",2,9.57910190256566
"contrast",2,10.166731943472314
"elastic_transform",2,6.692216489386987
"pixelate",2,5.956686086037693
"jpeg_compression",2,6.929693493993388
"speckle_noise",2,8.442596647192412
"gaussian_blur",2,6.843542884399018
"spatter",2,3.6417056061193045
"saturate",2,6.893869743708333
"gaussian_noise",3,10.007031328894834
"shot_noise",3,9.864753033264666
"impulse_noise",3,3.035606651990413
"defocus_blur",3,7.4363831836844945
"glass_blur",3,7.564036829465694
"motion_blur",3,7.7744429768705725
"zoom_blur",3,8.49788957791188
"snow",3,10.56589694081188
"frost",3,10.101022762721897
"fog",3,10.297965050846244
"brightness",3,10.769879170011516
"contrast",3,10.212068571455452
"elastic_transform",3,6.972120631485293
"pixelate",3,6.321551497569469
"jpeg_compression",3,7.133271766529107
"speckle_noise",3,9.171684145872334
"gaussian_blur",3,7.3162779162584775
"spatter",3,4.727050911064571
"saturate",3,6.9910775118406505
"gaussian_noise",4,10.121689191234118
"shot_noise",4,10.073822967533797
"impulse_noise",4,4.171926049536919
"defocus_blur",4,7.732362332461197
"glass_blur",4,7.572444057023971
"motion_blur",4,8.138647147139768
"zoom_blur",4,8.679527241000365
"snow",4,10.342521780349717
"frost",4,10.129905420427814
"fog",4,10.293020402289482
"brightness",4,10.944482215217398
"contrast",4,10.243294299408982
"elastic_transform",4,7.127853871943273
"pixelate",4,6.616310135092061
"jpeg_compression",4,7.651290758571019
"speckle_noise",4,9.401859854361211
"gaussian_blur",4,7.634155415095339
"spatter",4,3.566151622587799
"saturate",4,8.092858475859096
"gaussian_noise",5,10.154224888584773
"shot_noise",5,10.114077635356919
"impulse_noise",5,5.257655545840717
"defocus_blur",5,7.963842101886093
"glass_blur",5,7.833502089807372
"motion_blur",5,8.354836025693288
"zoom_blur",5,8.843420823349465
"snow",5,10.239413322870616
"frost",5,10.134054067769338
"fog",5,10.288641176170652
"brightness",5,8.964722799528987
"contrast",5,10.248559915600266
"elastic_transform",5,7.292885923222931
"pixelate",5,6.805206562437129
"jpeg_compression",5,8.154350609579968
"speckle_noise",5,9.596495799418191
"gaussian_blur",5,8.06340416267399
"spatter",5,4.525115761412523
"saturate",5,8.078928094368209
